_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(58404ad079baba5e57028bee),www.immowelt.de/expose/2ADEZ47,immowelt,09:24:19,2016-06-13,2016-06-13T09:24:19Z,250,38,dresden,gia,private,1
ObjectID(58402cc179baba5e57027b6a),www.immobilienscout24.de/expose/88980558,immobilienscout,07:48:06,2016-06-18,2016-06-18T07:48:06Z,307.78,55.96,magdeburg,gtp,company,1
ObjectID(58469ccb79baba5e5702a030),www.immobilienscout24.de/expose/90370400,immobilienscout,07:29:51,2016-09-20,2016-09-20T07:29:51Z,522,54.6,hamburg,atg,company,2
ObjectID(58404ce379baba5e57028e60),www.immowelt.de/expose/2AX6P4A,immowelt,17:03:35,2016-06-18,2016-06-18T17:03:35Z,660,44,münchen,pga,company,1
ObjectID(58469cc779baba5e5702a02c),www.immobilienscout24.de/expose/90362080,immobilienscout,07:30:41,2016-09-20,2016-09-20T07:30:41Z,500,49.82,köln,itg,private,2
ObjectID(5840302f79baba5e570280d8),www.immobilienscout24.de/expose/89109812,immobilienscout,07:53:49,2016-06-28,2016-06-28T07:53:49Z,873.5,55,münchen,pttg,company,1
ObjectID(58402f3a79baba5e57027f7e),www.immobilienscout24.de/expose/89070362,immobilienscout,17:07:58,2016-06-24,2016-06-24T17:07:58Z,450,47.6,berlin,pag,company,1
ObjectID(58402e6779baba5e57027ddc),www.immobilienscout24.de/expose/89034211,immobilienscout,17:10:22,2016-06-22,2016-06-22T17:10:22Z,324.02,47.65,dresden,tgi,company,1
ObjectID(5846b3a379baba5e5702a672),www.immobilienscout24.de/expose/90557833,immobilienscout,07:32:08,2016-10-03,2016-10-03T07:32:08Z,630,49,münchen,pgt,private,2
ObjectID(5840306a79baba5e570280ee),www.immobilienscout24.de/expose/89115353,immobilienscout,17:08:14,2016-06-28,2016-06-28T17:08:14Z,382,33,münchen,aig,private,1
ObjectID(5840302079baba5e570280a4),www.immobilienscout24.de/expose/89096828,immobilienscout,07:52:39,2016-06-28,2016-06-28T07:52:39Z,480,35,köln,gpi,company,1
ObjectID(58469e1b79baba5e5702a1a4),www.immobilienscout24.de/expose/90451306,immobilienscout,07:21:45,2016-09-24,2016-09-24T07:21:45Z,500,47,münchen,apg,company,2
ObjectID(5840355a79baba5e57028708),www.immobilienscout24.de/expose/89282875,immobilienscout,17:15:00,2016-07-08,2016-07-08T17:15:00Z,277.67,52.99,dortmund,gip,company,1
ObjectID(584ec1abc980817b111fbb68),www.immowelt.de/expose/2BZF44N,immowelt,07:31:48,2016-10-10,2016-10-10T07:31:48Z,400,43,köln,pgt,private,2
ObjectID(5840306b79baba5e570280f2),www.immobilienscout24.de/expose/89124133,immobilienscout,17:08:12,2016-06-28,2016-06-28T17:08:12Z,230,47,magdeburg,agi,company,1
ObjectID(5846b48979baba5e5702a7b6),www.immobilienscout24.de/expose/90675203,immobilienscout,07:29:56,2016-10-11,2016-10-11T07:29:56Z,353.04,58.84,magdeburg,tga,company,2
ObjectID(58469c7579baba5e57029fd8),www.immobilienscout24.de/expose/90358148,immobilienscout,17:28:21,2016-09-19,2016-09-19T17:28:21Z,385,43,dortmund,apg,company,2
ObjectID(5840306b79baba5e570280f4),www.immobilienscout24.de/expose/89121928,immobilienscout,17:15:02,2016-06-28,2016-06-28T17:15:02Z,560,55.2,hamburg,iag,company,1
ObjectID(584ebcdcc980817b111fb807),www.immowelt.de/expose/2BZHZ4D,immowelt,17:26:05,2016-09-17,2016-09-17T17:26:05Z,620.99,55.62,frankfurt,gyaxi,company,2
ObjectID(584031a779baba5e570282ac),www.immobilienscout24.de/expose/89144349,immobilienscout,07:57:59,2016-07-01,2016-07-01T07:57:59Z,760,36,münchen,git,private,1
ObjectID(584ec1acc980817b111fbb6a),www.immowelt.de/expose/28JM743,immowelt,07:31:59,2016-10-10,2016-10-10T07:31:59Z,315,32,nürnberg,gat,private,2
ObjectID(5840306c79baba5e570280f6),www.immobilienscout24.de/expose/89107530,immobilienscout,17:08:32,2016-06-28,2016-06-28T17:08:32Z,405,45,köln,pga,private,1
ObjectID(5840306c79baba5e570280f8),www.immobilienscout24.de/expose/89121189,immobilienscout,17:08:44,2016-06-28,2016-06-28T17:08:44Z,316,43.5,dortmund,tygxp,company,1
ObjectID(584038ff79baba5e57028b18),www.immobilienscout24.de/expose/89392969,immobilienscout,07:55:28,2016-07-16,2016-07-16T07:55:28Z,450,47,dresden,tgp,company,1
ObjectID(58402d8979baba5e57027c60),www.immobilienscout24.de/expose/88655003,immobilienscout,07:47:27,2016-06-20,2016-06-20T07:47:27Z,295,46,leipzig,tag,private,1
ObjectID(58469da079baba5e5702a13e),www.immobilienscout24.de/expose/90428078,immobilienscout,07:33:51,2016-09-23,2016-09-23T07:33:51Z,415,57,dortmund,gai,private,2
